epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.85,3.08622,10.3337,3.01403,0.52122,0.38,0.33818,0.18909,3.03531,4.60748,3.1591,0.000221674,0.000221674,0.000221674
2,264.723,2.94785,6.77233,2.78261,0.41947,0.45677,0.37133,0.21966,3.04023,3.9465,3.09555,0.000438512,0.000438512,0.000438512
3,380.438,3.00539,4.91114,2.77511,0.39,0.58842,0.47011,0.26366,2.95903,3.13119,2.981,0.000649848,0.000649848,0.000649848
4,493.796,2.98048,4.06212,2.75609,0.51743,0.54389,0.50304,0.30073,2.89424,2.89974,2.94973,0.000642238,0.000642238,0.000642238
5,606.044,2.91231,3.54438,2.7106,0.47014,0.57399,0.52108,0.31944,2.87169,2.85561,2.92582,0.000633983,0.000633983,0.000633983
6,717.899,2.87619,3.31729,2.68194,0.48223,0.66742,0.56338,0.3477,2.75767,2.41246,2.8244,0.000625729,0.000625729,0.000625729
7,828.612,2.81169,3.07005,2.65054,0.47077,0.67254,0.59063,0.35991,2.78861,2.48902,2.83865,0.000617475,0.000617475,0.000617475
8,939.034,2.80711,2.9999,2.64743,0.47237,0.67237,0.57362,0.34661,2.75712,2.54436,2.78922,0.000609221,0.000609221,0.000609221
9,1050.66,2.76114,2.89413,2.605,0.52036,0.67692,0.58694,0.36322,2.69848,2.28343,2.74978,0.000600967,0.000600967,0.000600967
10,1161.38,2.72955,2.7819,2.59406,0.43061,0.64472,0.53744,0.32618,2.85247,2.72749,2.89921,0.000592713,0.000592713,0.000592713
11,1270.94,2.70708,2.76495,2.58415,0.54882,0.69656,0.61383,0.37431,2.73215,2.22369,2.77979,0.000584459,0.000584459,0.000584459
12,1382.24,2.70881,2.66921,2.57638,0.59536,0.6822,0.63763,0.39623,2.70673,2.14384,2.79452,0.000576205,0.000576205,0.000576205
